Identifier	Character	Dialogue	Filename	Line Number
introduction_1833bb55		Trailing along behind the detective is a young girl who peers up at me cautiously, clutching firmly onto him. Kessler glances down at her.	game/script.rpy	144
introduction_500ca87f	k	"This is Julie, she’s my daughter."	game/script.rpy	145
introduction_4037a491	j	"... Hi."	game/script.rpy	146
introduction_3c23170d		Julie tugs on his pants leg urgently, signalling that she does not want to be here right now. The detective sighs and ruffles her hair.	game/script.rpy	147
introduction_6cc84bf1	k	"I better get moving."	game/script.rpy	148
introduction_5f78edee		He grumbles to himself and moves past me, toward the rooms.	game/script.rpy	149
introduction_ad2e272d	k	"Be seeing you."	game/script.rpy	150
introduction_49f15fd4		With that, I’m left in the motel lobby with Liz again, who has evidently not been paying attention to our exchange and doesn’t seem to care.	game/script.rpy	151
introduction_05d4c604		I might as well check out the gift store while I'm here.	game/script.rpy	156
introduction_b65b3741		The souvenirs that line the shelves look like they've been here for months. There's a layer of dust coating each one.	game/script.rpy	159
introduction_16e6d6dd		Behind the desk sits a man who has fallen asleep in his wheelchair. Like the main section of the motel, this gift shore doesn't seem to get much business.	game/script.rpy	160
introduction_591f3c74		I clear my throat and make my presence known. The man jolts awake and his eyes light up at the sight of a potential customer.	game/script.rpy	161
introduction_5e933ed4		His relation to Liz is evident in his face. He has the same brown hair and light eyes, though he looks considerably less stern and more uncertain.	game/script.rpy	164
introduction_e1b16bbc	s	"Welcome to Cooper's Motel & Gift Store! I'm Scott, what can I do for you?"	game/script.rpy	165
introduction_2ef29c3d	player	"I'm just looking... I'm [name]. I'm new in town and thought I'd introduce myself."	game/script.rpy	166
introduction_1160a6e7		He looks a little bit let down, but quickly regains his cheery composure.	game/script.rpy	167
introduction_a7cc5d23	s	"Pleasure to meet you! It's rare to see fresh faces in Coyote Creek... It's a shame, really. This town has a lot of charm."	game/script.rpy	168
introduction_c425c81b		He glances back at the objects on display and frowns.	game/script.rpy	169
introduction_fe7193a4	s	"... It really is an underrated place."	game/script.rpy	170
introduction_1b8e90a3		He snaps out of it and looks back at me, his smile returning to his face.	game/script.rpy	171
introduction_881db177	s	"I hope you like it here. Feel free to drop by whenever you want. I've always got time."	game/script.rpy	172
introduction_0eb6f3f6		Pushing the van took a lot of energy, so Norman and I spent the rest of the day relaxing.	game/script.rpy	176
introduction_8bd9905d		Mike says it could take up to a week to fix, so it looks like we're stuck here for a while.	game/script.rpy	177
introduction_043cbad2		Hopefully I can find some way to spend the time.	game/script.rpy	178
monday_a20cefa7		...	game/script.rpy	188
monday_6d8bf582	n	"Hey, wake up."	game/script.rpy	189
monday_957e6ccf	n	"Come on, [name], I'm hungry. Let's go!"	game/script.rpy	190
monday_bf282f09	player	"Ugh... What time is it?"	game/script.rpy	195
monday_c1806de9	n	"Eight. The diner's doing a breakfast deal, come on, we're gonna be late."	game/script.rpy	196
monday_4681acbf		I close my eyes again. Norman immediately groans.	game/script.rpy	197
monday_0006aaec	n	"Y'know what? Alright. I'll be there. Get up whenever you're ready."	game/script.rpy	198
monday_b211bb67		Before I have a chance to reply, he hurries out of the room and closes the door behind him.	game/script.rpy	201
sunday_907f2e40	n	"Hey."	game/script.rpy	268
sunday_b929355c		I smile a little sheepishly.	game/script.rpy	269
sunday_7e624fe0	player	"Hey."	game/script.rpy	270
sunday_3f3a47bc		Norman returns the smile. His cheeks darken.	game/script.rpy	271
sunday_ea9a3620	n	"So... Hitting the road again, are we?"	game/script.rpy	272
sunday_bb12039d	player	"I guess we are..."	game/script.rpy	273
sunday_77773d63		His expression becomes serious.	game/script.rpy	274
sunday_3aec1607	n	"[name], I... I want to apologise. For getting so needy last night. I wasn't sure if..."	game/script.rpy	275
sunday_3385599e		I shake my head and move my hands to his wrists. He stops talking and just looks at me.	game/script.rpy	276
sunday_26d54c0b	player	"You have nothing to apologise for, Norman. I'm glad you told me how you felt."	game/script.rpy	277
sunday_3dbde366		Norman's face softens. He looks so relieved.	game/script.rpy	278
sunday_f3fed57a	n	"... Okay."	game/script.rpy	279
sunday_d22ee112	n	"So... When we get back..."	game/script.rpy	280
sunday_2edc18c0	player	"This will still be us. Together."	game/script.rpy	281
sunday_737566e2	n	"I'd like that..."	game/script.rpy	282
sunday_3c30046f		We sit in the van for a moment just to enjoy eachother's company. Eventually, Norman grins and pulls out his keys.	game/script.rpy	283
sunday_0b66df6f	n	"So... Moment of truth?"	game/script.rpy	284
sunday_90fc4b7a		The engine sounds perfect. Norman laughs in excitement.	game/script.rpy	285
sunday_eff0ccbe	n	"Time to go home then!"	game/script.rpy	286
sunday_a563a4ad		He releases the handbrake, shifts into gear, and begins to pull away from Coyote Creek.	game/script.rpy	287
sunday_993ddffd		The town gets smaller in the mirror. My heart aches for a moment, leaving behind this place that feels so special to us.	game/script.rpy	288
sunday_1d4a9c07		I let my hand drift to Norman's on the gearstick and see him grin from the corner of my eye.	game/script.rpy	289
sunday_b0a1d9bf		San Francisco is miles away, but with him next to me, I already feel like I'm home.	game/script.rpy	290
sunday_6b8124cb		You got Norman's good end.	game/script.rpy	292
sunday_dcc919fb		You got Norman's neutral end.	game/script.rpy	294
sunday_dc44a3d1		You got Norman's bad end.	game/script.rpy	296
sunday_c1393609		You got Norman's worst end.	game/script.rpy	298
sunday_3ddba56f		You got Mike's best end.	game/script.rpy	300
sunday_592bf06c		You got Mike's good end.	game/script.rpy	302
sunday_04df75f8		You got Mike's neutral end.	game/script.rpy	304
sunday_6abf87c1		You got Mike's bad end.	game/script.rpy	306
sunday_b8bf6340		You got Mike's worst end.	game/script.rpy	308
sunday_339014eb		You got Kessler's best end.	game/script.rpy	310
sunday_e34a3fe9		You got Kessler's good end.	game/script.rpy	312
sunday_46fb4f20		You got Kessler's neutral end.	game/script.rpy	314
sunday_9cbd1d69		You got Kessler's bad end.	game/script.rpy	316
sunday_92711d76		You got Scott's worst end.	game/script.rpy	318
sunday_20f6f3d6		You got Scott's best end.	game/script.rpy	320
sunday_fa3d8b21		You got Scott's good end.	game/script.rpy	322
sunday_c51c1d08		You got Scott's neutral end.	game/script.rpy	324
sunday_823b032d		You got Scott's bad end.	game/script.rpy	326
sunday_92711d76_1		You got Scott's worst end.	game/script.rpy	328
normandialogue_318ddb83	n	"Something you need, [name]?"	game/script.rpy	333
normandialogue_fce09b0c	player	"So… flowers?"	game/script.rpy	336
normandialogue_583a803e	n	"Yeah. Flowers."	game/script.rpy	337
normandialogue_fb76ff64	player	"How do you think they got there?"	game/script.rpy	338
normandialogue_b995cb04	n	"Okay, hear me out…"	game/script.rpy	339
normandialogue_3cfce165	n	"Maybe there’s something to the local legends. It could be a monster."	game/script.rpy	340
normandialogue_4b4abe2d	n	"Come on, just hear me out!"	game/script.rpy	344
normandialogue_2e47ac50	n	"I knew you would."	game/script.rpy	347
normandialogue_2da292ab	n	"The engine had nothing on it when i last checked it. [name], that was right before we started moving again. There’s no explanation for it."	game/script.rpy	348
normandialogue_dc0d30dd	n	"We should conduct an investigation. It could be fun!"	game/script.rpy	349
normandialogue_78efa86e	n	"So, do you wanna go ghost hunting?"	game/script.rpy	353
normandialogue_727c4347	n	"Alright. I’m not finished with my breakfast yet so I’ll be here."	game/script.rpy	358
normandialogue_01a3f56b	n	"Later then!"	game/script.rpy	361
mikedialogue_13701831	m	"You got a minute, [name]?"	game/script.rpy	437
mikedialogue_2376acd1	m	"This engine has me completely stumped. I've never seen anything like it."	game/script.rpy	440
mikedialogue_9b0c8c47	player	"Any ideas what caused it?"	game/script.rpy	441
mikedialogue_fb082609	m	"Well... Nothing that doesn't involve aliens."	game/script.rpy	442
mikedialogue_8b3c6a45	m	"...Oh. Okay."	game/script.rpy	446
mikedialogue_5bf3aed1		His face breaks into the widest grin I've ever seen.	game/script.rpy	449
mikedialogue_c3decc91	m	"I know it's silly but if you're interested... I can tell you about it."	game/script.rpy	450
mikedialogue_0d172b6e	m	"I've got some time if you want to know more about your engine trouble."	game/script.rpy	453
mikedialogue_c8ea5848	m	"No worries, [name]. I'm not going anywhere."	game/script.rpy	458
mikedialogue_bd4c4800	m	"Bye!"	game/script.rpy	461
kesslerdialogue_fdf57aa3	k	"[surname]."	game/script.rpy	477
kesslerdialogue_2a1d2aca	player	"You look stressed out."	game/script.rpy	480
kesslerdialogue_19b5bd30	k	"Hm. That's because I am."	game/script.rpy	481
kesslerdialogue_70c97ced	player	"Can I ask why?"	game/script.rpy	482
kesslerdialogue_acbc0930	k	"Urgh... Some kid keeps vandalising the town. And I can't catch him."	game/script.rpy	483
kesslerdialogue_8f044182	k	"I was actually just about to head out looking for him."	game/script.rpy	484
kesslerdialogue_83174c4f	k	"... Well, I'm not going yet."	game/script.rpy	488
kesslerdialogue_9166216a	k	"Actually..."	game/script.rpy	491
kesslerdialogue_fab7c32b	k	"Hm. Just keep an eye out for anything suspicious."	game/script.rpy	492
kesslerdialogue_9d693c5e	k	"It'd be good to have the eyes of someone who isn't a local."	game/script.rpy	493
kesslerdialogue_4be7e3aa	k	"You can tag along. Or don't. Doesn't matter much."	game/script.rpy	497
kesslerdialogue_7ff03069	k	"Suit yourself, [surname]."	game/script.rpy	502
